,Airline,Departure_time,Departure_airport,Arrival_time,Arrival_airport,Duration,Flight_numbers,Alibaba_price,MrBilit_price
0,Qatar Airways,04:45,IKA,13:20,OSL,11 ساعت و 5 دقیقه,"491, 175, 0",86448680.0,89232000.0
4,Qatar Airways,22:50,IKA,13:20,OSL,17 ساعت,"499, 175, 0",86448680.0,100564000.0
8,Turkish Airlines,07:55,IKA,16:25,OSL,11 ساعت,"879, 1753, 0",98157700.0,105574000.0
12,Turkish Airlines,06:30,IKA,16:25,OSL,12 ساعت و 25 دقیقه,"873, 1753, 0",98157700.0,114282000.0
16,multi Airline,05:30,IKA,16:25,OSL,13 ساعت و 25 دقیقه,"7689, 1753, 0",102974700.0,202185000.0
20,Turkish Airlines,03:15,IKA,16:25,OSL,15 ساعت و 40 دقیقه,"875, 1753, 0",111631550.0,129567000.0
24,Turkish Airlines,02:05,IKA,16:25,OSL,16 ساعت و 50 دقیقه,"881, 1753, 0",111631550.0,352895000.0
28,multi Airline,22:50,IKA,16:35,OSL,20 ساعت و 15 دقیقه,"499, 167, 491",148388340.0,334646000.0
29,multi Airline,03:45,IKA,13:00,OSL,11 ساعت و 45 دقیقه,"872, 301, 1458",159543766.0,357226000.0
33,multi Airline,04:45,IKA,20:50,OSL,18 ساعت و 35 دقیقه,"491, 273, 828",165227840.0,365736000.0
34,multi Airline,22:50,IKA,08:45,OSL,12 ساعت و 25 دقیقه,"499, 169, 843",167720380.0,420374000.0
35,multi Airline,04:45,IKA,16:35,OSL,14 ساعت و 20 دقیقه,"491, 167, 491",191274900.0,420374000.0
36,multi Airline,00:50,IKA,12:00,OSL,13 ساعت و 40 دقیقه,"2491, 159, 0",191907785.0,441411000.0
37,multi Airline,04:45,IKA,08:05,OSL,29 ساعت و 50 دقیقه,"491, 301, 6184",208542320.0,441411000.0
41,multi Airline,22:50,IKA,16:35,OSL,20 ساعت و 15 دقیقه,"499, 301, 6136",239651620.0,358504000.0
45,Lufthansa,02:30,IKA,14:50,OSL,14 ساعت و 50 دقیقه,"601, 862, 0",241378487.0,457250000.0
